%s is required,%s es necesario
%s: Edit Logic,%s: Editar Logic
%s: New Logic,%s: Nuevo Logic
(new copy),(nuevo copy)
API,API
Action,Acción
Action to perform with target elements,Acción a realizar con los elementos de destino
Acumen (theme matching template),Acumen (tema de plantilla)
Add Field,Añadir campo
Add Field - %s,Añadir campo - %s
Add Field Set,Añadir Grupo de Campos
Add Form,Añadir formulario
Add Logic,Añadir Logic
Add New Form,Añadir nuevo formulario
Add custom stylization to the input element,Añadir estilización personalizada para el elemento de entrada
Add header to the message,Agregar encabezado al mensaje
"Add header with Store Group, IP and other information to the message","Añadir encabezado con el grupo de tienda, IP y otra información para el mensaje"
Additional CSS classes for the input element,Clases CSS adicionales para el elemento de entrada
Additional CSS style for the input element,Estilo CSS adicional para el elemento de entrada
Adds web-form collected results to a page,Añade los resultados recogidos del formulario web en una página
Adds web-form to a page,Añade el formulario web a una página 
Admin notification template,Plantilla de notificación de administración
Ajax,Ajax
Ajax submission,Comunicación por Ajax (submission)
Ajax upload,Carga por Ajax (uploads)
All values should be checked,Todos los valores deben ser revisados
Allow only latin characters in file names,Permitir sólo caracteres latinos en los nombres de archivos
Always on,Siempre
An error occurred during operation.,Se ha producido un error durante su funcionamiento.
An error occurred while duplicating records.,Se produjo un error al duplicar registros.
An error occurred while updating records.,Se ha producido un error al actualizar los registros.
Any value can be checked,Algún valor debe comprobarse
Approve,Aprobar
Approve selected results?,¿Aprobar los resultados seleccionados?
Approved,Aprobado
Are you sure to delete selected elements?,¿Está seguro de borrar los elementos seleccionados?
Are you sure to delete selected results?,¿Está seguro de borrar los resultados seleccionados?
Are you sure to duplicate selected fields?,¿Está seguro de duplicar campos seleccionados?
Are you sure to duplicate selected fieldsets?,¿Está seguro de duplicar los grupos de campos seleccionados?
Are you sure to duplicate selected web-forms?,¿Está seguro de duplicar los formularios web seleccionados?
Are you sure you want to delete the entire form and associated data?,¿Está seguro de que desea eliminar todo el formulario y los datos asociados?
Auto (hidden for logged in customers),Automático (oculto para clientes conectados)
Blackglass,Cristal Negro
Block e-mail addresses,Bloquear direcciones de correo electrónico
Block specified e-mail addresses from submission,Bloquear las direcciones de correo electrónico especificadas para el envío
Captcha mode,Modo Captcha
Change field set,Cambiar Grupo de Campos
Change status,Cambiar estado
Clean,Limpiar
Code,Código
Code is used to help identify this field in scripts,El código se utiliza para ayudar a identificar este campo en los scripts
Code is used to help identify this web-form in scripts,El código se utiliza para ayudar a identificar este formulario web en scripts
Comment,Comentario
Condition,Condición
Contacts,Contacto
Contacts web-form,Formulario de contacto
Convert newline characters to <br/> html tags when saving message,Convertir caracteres de salto de línea a <br/> etiquetas HTML al guardar mensajes
Convert newlines to html tags,Convertir saltos de línea en etiquetas HTML
Custom login redirect URL(Key) if user is not authorized,URL(Key) personalizada para inicio de sesión si el usuario no está autorizado
Customer,Cliente
Customer notification template,Plantilla de notificación al Cliente
Date,Fecha
Date / Time,Fecha / Hora
Date Created,Fecha de creación
Default,Predeterminado
Default Values,Valores predeterminados
Default e-mail address for notifications,Dirección de correo electrónico predeterminado para las notificaciones
Default value is set in Forms Settings,El valor predeterminado se establece en la configuración de formularios
Delete,Eliminar
Delete File,Eliminar archivo
Delete Form,Eliminar formulario
Delete this message?,¿Eliminar este mensaje?
Description,Descripción
Design,Diseño
Disapprove,Desaprobar
Disapprove selected results?,¿Desaprobar los resultados seleccionados?
Display,Mostrar
Display field,Mostrar campo
Display field in result / notification messages,Mostrar el campo en los resultados / mensajes de notificación
Display fieldset name in result / notification messages,Mostrar nombre grupo de campos en el resultado / mensajes de notificación
Display in menu,Mostrar en el menú
Displayed error message text if regex validation fails,Se muestra el texto del mensaje de error si la validación RegEx falla
